Item Lookup Code,Department,Category,Description,Quantity Sold,Sales,Last Sold,Cost,Cost Sold,Non Sale Movement,Last Received
Grand Summaries,,,,,,,,,,
,,,,"24,119.00","314,789.49","#,#.00","18,743.95","227,923.80","39,563.00","#,#.00"
9557558328212,MEDS/DAILY CARE,,VIP HONEY 24CT,16,$474.00,5/13/2025 9:56,$18.00,$288.00,0,11/30/2024 12:44
9780201379631,,,V-GRA GOLD 500MG 20CT JAR,1,$55.00,4/9/2025 16:27,$40.00,$40.00,0,9/19/2023 17:49
9X12 BAG,PLASTIC/PAPER GOODS,,POLY 9X12 BAG 2000CT,411,"$4,623.75",5/6/2025 16:53,$60.00,$0.00,411,
AXE,MEDS/DAILY CARE,,AXE DEODRANT SPRAY 6PK,5,$75.00,5/13/2025 9:56,$10.50,$52.50,0,11/30/2024 12:44
BIC 3 TIER DISPLAY,SMOKE SUPPLIES,LIGHTERS,BIC 3 TIER DISPLAY ,1,$165.00,4/29/2025 11:33,$135.00,$135.00,0,1/6/2023 12:26
BIC 6 TIER DISPLAY 300PC ,SMOKE SUPPLIES,LIGHTERS,BIC 6 TIER DISPLAY 300PC ,7,"$2,468.99",5/13/2025 18:23,$295.99,"$2,071.93",0,9/19/2023 11:40
BIC LIGHTER DISPLAY 210CT,SMOKE SUPPLIES,LIGHTERS,BIC LIGHTER DISPLAY 210CT,2,$285.00,4/23/2025 14:20,$128.00,$256.00,0,7/27/2020 12:31
BREEZECITRUS,TOBACCO VAPE,60mg VAPE,BREEZE CIRTUS 10CT,1,$105.50,4/25/2025 17:18,$101.20,$101.20,0,3/25/2025 15:36
CARD,FREIGHT OR SERVICE CHARGE,,CREDIT CARD FEE 3%,2,$94.75,4/28/2025 13:44,$0.00,$0.00,0,
COKE REG,FOOD & BEVERAGE,SODA,COCA COLA 20OZ 24PK,10,$320.00,5/1/2025 12:32,$27.00,$270.00,0,10/28/2024 10:26
COKE16OZ,FOOD & BEVERAGE,SODA,COKE 16 OZ 24CT,1,$32.00,4/28/2025 14:16,$28.50,$28.50,0,
DARTRED,PLASTIC/PAPER GOODS,,DART RED CUPS 16OZ 16CT,326,"$3,304.40",5/2/2025 14:16,$0.61,$199.51,0,
Dis,,,Discount,1,"$1,195.49",5/12/2025 15:23,$0.00,$0.00,0,9/19/2023 12:11
DISPOCASE,SMOKE SUPPLIES,LIGHTERS,DISPOSABLE CLEAR LIGHTERS CASE,37,"$2,435.00",5/8/2025 9:46,$60.00,"$2,220.00",0,3/28/2023 16:52
DK12X8POLYBAG,PLASTIC/PAPER GOODS,,POLY 12X18 DK 1000CT,1,$90.00,5/6/2025 16:53,$25.00,$0.00,0,
FCP325,,,MULTI COLOR TWIST PIPE,10,$25.00,4/24/2025 13:14,$1.25,$12.50,0,
FGH01,,,GLASS HAMMER BUBBLER 5 5,3,$12.00,4/8/2025 16:49,$2.99,$8.97,0,2/13/2021 11:42
FGH02,,,GLASS BUBBLER 5 5,2,$9.50,4/8/2025 16:49,$3.50,$7.00,0,2/13/2021 11:42
FP206,,,2.5 CHINA ROAD,4,$7.00,4/24/2025 13:14,$0.95,$3.80,0,
