Department,Category,Item Lookup Code,Description,Price
TOBACCO,SMOKE TOBACCO,6.2911E+12,AL FAKHER CHERRY 10CT,19.5
TOBACCO,SMOKE TOBACCO,6.2911E+12,AL FAKHER KIWI 10CT,19.5
TOBACCO,45mg VAPE,6.02002E+11,VIVA ICED PEACH,5.5
TOBACCO,45mg VAPE,6.02002E+11,VIVA RAZZ WATERMELON,5.5
TOBACCO,SMOKE TOBACCO,071737444160,CAPTAIN BLACK CHERRY POUCH 9OZ,41
TOBACCO,SMOKE TOBACCO,8.02084E+11,AFZAL LYCHEE 10CT,19.5
TOBACCO,45mg VAPE,6.02002E+11,VIVA ICED BANANA BOMB,5.5
TOBACCO,45mg VAPE,6.02002E+11,VIVA ICED LUSH,5.5
TOBACCO,60CT CIGAR,025900276751,SWISHER  DIAMONDS B1G1 20PK 5C,45
TOBACCO,SMOKE TOBACCO,071737123966,MIDNIGHT SPECIAL REGULAR 7.8OZ,35.5
TOBACCO,45mg VAPE,6.02002E+11,VIVA PINK LEMONADE,5.5
TOBACCO,60CT CIGAR,025900277154,SWISHER SWEETS WOODTIP 5FOR3 ,25.75
TOBACCO,60CT CIGAR,025900297008,SWISHER SWEET REG 5F3 100CT,44.5
TOBACCO,60CT CIGAR,025900426880,SWISHER  TROPICAL ICE 30PK 2CT,25.75
TOBACCO,60CT CIGAR,025900295400,SWISHER  PERFECTO 20CT B1G1 5P,52.32
TOBACCO,60CT CIGAR,025900337667,SWISHER  MAUI PINEAPPLE30PK2CT,27.5
TOBACCO,60CT CIGAR,025900445928,SWISHER  MANGO 30PK 2CT,27.5
TOBACCO,60CT CIGAR,025900426897,SWISHER  LEMON ICE 30PK2CT,27.5
TOBACCO,60CT CIGAR,025900320669,SWISHER  BOOZY WATRMLN 30PK2CT,27.5
TOBACCO,60CT CIGAR,025900426811,SWISHER  BOOZY MANGO 30PK2CT,27.5
TOBACCO,60CT CIGAR,071610496187,DUTCH RUM FUS 2/99 60CT,24.75
TOBACCO,60CT CIGAR,025900435288,SWISHER  CALYPSOCRM 30PK 2CT,27.5
TOBACCO,60CT CIGAR,025900293789,SWISHER  CHOCOLATE 30PK  2CT,27.5
TOBACCO,60CT CIGAR,025900425982,SWISHER  CHRRY DYNM 30PK  2CT,27.5
TOBACCO,SMOKE TOBACCO,8.12615E+11,GOLDEN LEAF PIPTOB COOLMT 16OZ,13.5
TOBACCO,60CT CIGAR,025900294304,SWISHER  BLUNT TWIN PACK,52.32
TOBACCO,SMOKE TOBACCO,8.12615E+11,GOLDEN LEAF PIPTOB SMOOTH 16OZ,13.5
TOBACCO,SMOKE TOBACCO,8.12615E+11,GOLDEN LEAF PIPE TOB REG 16OZ,13.5
TOBACCO,60CT CIGAR,8.12319E+11,GOODTIMES WHITE GRAPE 15PK 3CT,10.25
TOBACCO,60CT CIGAR,8.12319E+11,GOODTIMES BLUEBERRY 15PK 3CT,10.25
TOBACCO,45mg VAPE,8.59856E+11,MR FOG MAX APPLE GRAPE LEMON,95
TOBACCO,45mg VAPE,8.59856E+11,MR FOG MAX MINT MENTHOL,95
TOBACCO,45mg VAPE,6.97158E+12,HQD CUVIE PLUS SBCC ICE CREAM,48
TOBACCO,45mg VAPE,6.97158E+12,HQD CUVIE PLUS PINEAPPLE,48
TOBACCO,45mg VAPE,6.97158E+12,HQD CUVIE PLUS PINA COLADA,48
TOBACCO,,6.97158E+12,HQD CUVIE PLUS ORANGE GUAVA,48
TOBACCO,45mg VAPE,6.97158E+12,HQD CUVIE PLUS MIAMI VICE,48
TOBACCO,45mg VAPE,6.97158E+12,HQD CUVIE PLUS MANGO ICE,48
TOBACCO,45mg VAPE,6.97158E+12,HQD CUVIE PLUS CANDY,48
TOBACCO,60CT CIGAR,8.18892E+11,GOODTIMES GREEN SWEET 15PK 3CT,10.25
TOBACCO,45mg VAPE,6.97158E+12,HQD CUVIE PLUS ENERGY DRINK,48
TOBACCO,SMOKE TOBACCO,8.02084E+11,AFZAL BOMBAY PAN MASALA 10CT,19.5
TOBACCO,,6.97158E+12,HQD CUVIE PLUS APPLE PEACH,48
TOBACCO,60CT CIGAR,025900297015,SWISHER  GRAPE 5FR3 20PK5CT,48.5
TOBACCO,45mg VAPE,6.97158E+12,HQD CUVIE PLUS STRAW/BANANA,48
TOBACCO,45mg VAPE,6.02002E+11,VIVA BLUE RAZZ,5.5
TOBACCO,45mg VAPE,8.59856E+11,MR FOG MAX MANGO PINE LEMON,95
TOBACCO,45mg VAPE,6.02002E+11,VIVA ICED STRAWBERRY,5.5
